TRADEDATE,SECID,CLOSE,50MA
2023-04-04,IMOEX,2480.45,2283.95
2023-04-05,IMOEX,2500.8,2290.26
2023-04-06,IMOEX,2498.3,2296.77
2023-04-07,IMOEX,2508.39,2303.53
2023-04-10,IMOEX,2547.35,2311.14
2023-04-11,IMOEX,2533.69,2318.03
2023-04-12,IMOEX,2538.47,2324.71
2023-04-13,IMOEX,2544.28,2331.08
2023-04-14,IMOEX,2554.85,2337.58
2023-04-17,IMOEX,2596.11,2344.63
2023-04-18,IMOEX,2615.62,2351.97
2023-04-19,IMOEX,2606.55,2358.66
2023-04-20,IMOEX,2637.85,2366.06
2023-04-21,IMOEX,2639.95,2373.82
2023-04-24,IMOEX,2635.43,2381.28
2023-04-25,IMOEX,2626.86,2388.59
2023-04-26,IMOEX,2620.33,2395.71
2023-04-27,IMOEX,2646.18,2403.99
2023-04-28,IMOEX,2634.94,2413.36
2023-05-02,IMOEX,2580.51,2421.89
2023-05-03,IMOEX,2532.42,2429.16
2023-05-04,IMOEX,2524.51,2435.98
2023-05-05,IMOEX,2538.24,2442.49
2023-05-08,IMOEX,2527.59,2448.8
2023-05-10,IMOEX,2548.63,2455.61
2023-05-11,IMOEX,2595.12,2462.69
2023-05-12,IMOEX,2565.17,2468.93
2023-05-15,IMOEX,2611.07,2475.56
2023-05-16,IMOEX,2633.71,2483.15
2023-05-17,IMOEX,2634.48,2490.39
2023-05-18,IMOEX,2632.91,2497.17
2023-05-19,IMOEX,2626.16,2503.78
2023-05-22,IMOEX,2633.26,2510.64
2023-05-23,IMOEX,2641.66,2517.95
2023-05-24,IMOEX,2654.99,2525.66
2023-05-25,IMOEX,2649.98,2532.85
2023-05-26,IMOEX,2682.03,2541.25
2023-05-29,IMOEX,2732.0,2550.73
2023-05-30,IMOEX,2698.75,2558.25
2023-05-31,IMOEX,2717.64,2564.66
2023-06-01,IMOEX,2721.73,2571.13
2023-06-02,IMOEX,2719.48,2577.64
2023-06-05,IMOEX,2694.14,2583.76
2023-06-06,IMOEX,2681.25,2589.55
2023-06-07,IMOEX,2694.69,2594.63
2023-06-08,IMOEX,2709.69,2599.98
2023-06-09,IMOEX,2708.04,2604.92
2023-06-13,IMOEX,2757.28,2610.75
2023-06-14,IMOEX,2765.18,2617.04
2023-06-15,IMOEX,2800.17,2623.58
2023-06-16,IMOEX,2800.79,2629.98
2023-06-19,IMOEX,2815.07,2636.27
2023-06-20,IMOEX,2803.69,2642.38
2023-06-21,IMOEX,2819.3,2648.6
2023-06-22,IMOEX,2815.83,2653.97
2023-06-23,IMOEX,2795.06,2659.19
2023-06-26,IMOEX,2757.13,2663.57
2023-06-27,IMOEX,2776.63,2668.21
2023-06-28,IMOEX,2780.92,2672.73
2023-06-29,IMOEX,2796.41,2676.74
2023-06-30,IMOEX,2797.37,2680.38
2023-07-03,IMOEX,2793.93,2684.12
2023-07-04,IMOEX,2808.22,2687.53
2023-07-05,IMOEX,2805.0,2690.83
2023-07-06,IMOEX,2819.6,2694.51
2023-07-07,IMOEX,2832.51,2698.63
2023-07-10,IMOEX,2856.76,2703.36
2023-07-11,IMOEX,2860.33,2707.64
2023-07-12,IMOEX,2896.83,2712.88
2023-07-13,IMOEX,2885.63,2718.98
2023-07-14,IMOEX,2902.72,2726.39
2023-07-17,IMOEX,2917.61,2734.25
